 286: max:0.714, min:0.476, mean:0.621
 287: max:0.714, min:0.524, mean:0.636
 288: max:0.714, min:0.476, mean:0.630
 289: max:0.714, min:0.429, mean:0.625
 290: max:0.714, min:0.476, mean:0.622
 291: max:0.714, min:0.381, mean:0.624
 292: max:0.714, min:0.476, mean:0.613
 293: max:0.714, min:0.524, mean:0.618
 294: max:0.714, min:0.476, mean:0.613
 295: max:0.714, min:0.476, mean:0.619
 296: max:0.714, min:0.476, mean:0.615
 297: max:0.714, min:0.476, mean:0.621
 298: max:0.667, min:0.524, mean:0.617
 299: max:0.714, min:0.524, mean:0.616
 300: max:0.762, min:0.476, mean:0.607
 301: max:0.762, min:0.381, mean:0.602
 302: max:0.762, min:0.429, mean:0.598
 303: max:0.714, min:0.476, mean:0.601
 304: max:0.714, min:0.429, mean:0.593
 305: max:0.714, min:0.429, mean:0.593
 306: max:0.714, min:0.381, mean:0.592
 307: max:0.714, min:0.381, mean:0.605
 308: max:0.714, min:0.429, mean:0.605
 309: max:0.762, min:0.429, mean:0.620
 310: max:0.762, min:0.476, mean:0.621
 311: max:0.714, min:0.476, mean:0.624
 312: max:0.714, min:0.476, mean:0.622
 313: max:0.714, min:0.476, mean:0.623
 314: max:0.714, min:0.381, mean:0.608
 315: max:0.714, min:0.429, mean:0.619
 316: max:0.762, min:0.476, mean:0.626
 317: max:0.714, min:0.476, mean:0.632
 318: max:0.714, min:0.524, mean:0.629
 319: max:0.714, min:0.476, mean:0.619
 320: max:0.762, min:0.476, mean:0.619
 321: max:0.762, min:0.476, mean:0.614
 322: max:0.762, min:0.429, mean:0.609
 323: max:0.762, min:0.381, mean:0.614
 324: max:0.762, min:0.429, mean:0.619
 325: max:0.762, min:0.476, mean:0.637
 326: max:0.762, min:0.476, mean:0.646
 327: max:0.762, min:0.524, mean:0.663
 328: max:0.762, min:0.524, mean:0.678
 329: max:0.762, min:0.524, mean:0.668
 330: max:0.762, min:0.524, mean:0.667
 331: max:0.762, min:0.524, mean:0.661
 332: max:0.762, min:0.524, mean:0.653
 333: max:0.762, min:0.524, mean:0.650
 334: max:0.762, min:0.476, mean:0.648
 335: max:0.762, min:0.524, mean:0.650
 336: max:0.762, min:0.524, mean:0.649
 337: max:0.762, min:0.476, mean:0.645
 338: max:0.762, min:0.476, mean:0.640
 339: max:0.762, min:0.476, mean:0.646
 340: max:0.762, min:0.524, mean:0.644
 341: max:0.762, min:0.476, mean:0.649
 342: max:0.762, min:0.476, mean:0.642
 343: max:0.762, min:0.524, mean:0.645
 344: max:0.762, min:0.476, mean:0.632
 345: max:0.762, min:0.429, mean:0.631
 346: max:0.762, min:0.429, mean:0.629
 347: max:0.762, min:0.476, mean:0.634
 348: max:0.762, min:0.524, mean:0.646
 349: max:0.762, min:0.524, mean:0.668
 350: max:0.762, min:0.571, mean:0.675
 351: max:0.762, min:0.524, mean:0.667
 352: max:0.762, min:0.524, mean:0.670
 353: max:0.762, min:0.476, mean:0.686
 354: max:0.762, min:0.524, mean:0.680
 355: max:0.762, min:0.429, mean:0.679
 356: max:0.762, min:0.571, mean:0.677
 357: max:0.762, min:0.476, mean:0.665
 358: max:0.762, min:0.476, mean:0.672
 359: max:0.762, min:0.571, mean:0.670
 360: max:0.762, min:0.524, mean:0.660
 361: max:0.762, min:0.524, mean:0.664
 362: max:0.762, min:0.524, mean:0.658
 363: max:0.762, min:0.476, mean:0.650
 364: max:0.762, min:0.476, mean:0.647
 365: max:0.762, min:0.524, mean:0.641
 366: max:0.714, min:0.524, mean:0.637
 367: max:0.714, min:0.476, mean:0.634
 368: max:0.762, min:0.476, mean:0.637
 369: max:0.714, min:0.524, mean:0.633
