 226: max:0.679, min:0.500, mean:0.618
 227: max:0.679, min:0.536, mean:0.615
 228: max:0.679, min:0.500, mean:0.609
 229: max:0.679, min:0.500, mean:0.615
 230: max:0.679, min:0.464, mean:0.613
 231: max:0.679, min:0.500, mean:0.606
 232: max:0.679, min:0.500, mean:0.608
 233: max:0.679, min:0.536, mean:0.604
 234: max:0.643, min:0.464, mean:0.595
 235: max:0.643, min:0.464, mean:0.590
 236: max:0.643, min:0.500, mean:0.585
 237: max:0.643, min:0.464, mean:0.584
 238: max:0.643, min:0.500, mean:0.580
 239: max:0.643, min:0.500, mean:0.581
 240: max:0.643, min:0.429, mean:0.579
 241: max:0.643, min:0.464, mean:0.578
 242: max:0.643, min:0.500, mean:0.585
 243: max:0.643, min:0.500, mean:0.586
 244: max:0.643, min:0.464, mean:0.581
 245: max:0.643, min:0.464, mean:0.582
 246: max:0.679, min:0.464, mean:0.577
 247: max:0.679, min:0.500, mean:0.584
 248: max:0.679, min:0.464, mean:0.583
 249: max:0.679, min:0.464, mean:0.587
 250: max:0.679, min:0.429, mean:0.599
 251: max:0.679, min:0.464, mean:0.601
 252: max:0.679, min:0.500, mean:0.607
 253: max:0.679, min:0.500, mean:0.611
 254: max:0.679, min:0.536, mean:0.608
 255: max:0.679, min:0.500, mean:0.608
 256: max:0.679, min:0.500, mean:0.601
 257: max:0.679, min:0.464, mean:0.604
 258: max:0.679, min:0.536, mean:0.608
 259: max:0.679, min:0.500, mean:0.605
 260: max:0.679, min:0.500, mean:0.603
 261: max:0.679, min:0.500, mean:0.612
 262: max:0.679, min:0.500, mean:0.612
 263: max:0.679, min:0.500, mean:0.600
 264: max:0.679, min:0.464, mean:0.593
 265: max:0.679, min:0.429, mean:0.592
 266: max:0.679, min:0.500, mean:0.596
 267: max:0.679, min:0.464, mean:0.596
 268: max:0.679, min:0.464, mean:0.583
 269: max:0.679, min:0.464, mean:0.583
 270: max:0.679, min:0.464, mean:0.580
 271: max:0.679, min:0.429, mean:0.587
 272: max:0.679, min:0.500, mean:0.597
 273: max:0.679, min:0.500, mean:0.590
 274: max:0.679, min:0.500, mean:0.589
 275: max:0.679, min:0.464, mean:0.593
 276: max:0.679, min:0.464, mean:0.599
 277: max:0.679, min:0.536, mean:0.604
 278: max:0.679, min:0.464, mean:0.612
 279: max:0.679, min:0.464, mean:0.617
 280: max:0.714, min:0.536, mean:0.619
 281: max:0.679, min:0.464, mean:0.613
 282: max:0.679, min:0.500, mean:0.614
 283: max:0.679, min:0.500, mean:0.611
 284: max:0.679, min:0.500, mean:0.599
 285: max:0.679, min:0.500, mean:0.605
 286: max:0.714, min:0.500, mean:0.604
