 200: max:0.679, min:0.500, mean:0.586
 201: max:0.679, min:0.500, mean:0.591
 202: max:0.679, min:0.464, mean:0.590
 203: max:0.679, min:0.464, mean:0.600
 204: max:0.679, min:0.500, mean:0.602
 205: max:0.679, min:0.464, mean:0.599
 206: max:0.679, min:0.500, mean:0.593
 207: max:0.679, min:0.464, mean:0.602
 208: max:0.679, min:0.464, mean:0.600
 209: max:0.679, min:0.536, mean:0.606
 210: max:0.679, min:0.500, mean:0.607
 211: max:0.679, min:0.464, mean:0.605
 212: max:0.679, min:0.464, mean:0.606
 213: max:0.679, min:0.536, mean:0.607
 214: max:0.679, min:0.536, mean:0.608
 215: max:0.679, min:0.500, mean:0.614
 216: max:0.679, min:0.500, mean:0.620
 217: max:0.679, min:0.500, mean:0.610
 218: max:0.679, min:0.500, mean:0.616
 219: max:0.679, min:0.500, mean:0.619
 220: max:0.679, min:0.500, mean:0.612
 221: max:0.714, min:0.536, mean:0.613
 222: max:0.714, min:0.464, mean:0.607
 223: max:0.714, min:0.500, mean:0.619
 224: max:0.714, min:0.500, mean:0.626
 225: max:0.714, min:0.500, mean:0.633
 226: max:0.750, min:0.500, mean:0.646
 227: max:0.750, min:0.500, mean:0.652
 228: max:0.714, min:0.571, mean:0.662
 229: max:0.750, min:0.571, mean:0.661
 230: max:0.750, min:0.571, mean:0.660
 231: max:0.714, min:0.571, mean:0.656
 232: max:0.714, min:0.571, mean:0.649
 233: max:0.714, min:0.571, mean:0.649
 234: max:0.714, min:0.571, mean:0.641
 235: max:0.714, min:0.536, mean:0.630
 236: max:0.714, min:0.536, mean:0.639
 237: max:0.714, min:0.500, mean:0.630
 238: max:0.714, min:0.536, mean:0.629
 239: max:0.714, min:0.500, mean:0.636
 240: max:0.714, min:0.536, mean:0.639
 241: max:0.679, min:0.500, mean:0.629
 242: max:0.679, min:0.536, mean:0.628
 243: max:0.679, min:0.536, mean:0.625
 244: max:0.679, min:0.536, mean:0.625
 245: max:0.679, min:0.464, mean:0.621
 246: max:0.714, min:0.500, mean:0.626
 247: max:0.714, min:0.500, mean:0.628
 248: max:0.714, min:0.500, mean:0.634
 249: max:0.714, min:0.536, mean:0.628
 250: max:0.714, min:0.500, mean:0.630
 251: max:0.714, min:0.536, mean:0.631
 252: max:0.714, min:0.536, mean:0.623
 253: max:0.714, min:0.500, mean:0.621
 254: max:0.714, min:0.500, mean:0.625
 255: max:0.679, min:0.536, mean:0.628
 256: max:0.679, min:0.500, mean:0.628
 257: max:0.679, min:0.500, mean:0.623
 258: max:0.679, min:0.536, mean:0.625
 259: max:0.714, min:0.500, mean:0.618
 260: max:0.714, min:0.536, mean:0.619
 261: max:0.714, min:0.500, mean:0.614
 262: max:0.679, min:0.464, mean:0.614
 263: max:0.679, min:0.500, mean:0.619
 264: max:0.679, min:0.500, mean:0.625
 265: max:0.679, min:0.536, mean:0.620
 266: max:0.679, min:0.500, mean:0.615
 267: max:0.679, min:0.500, mean:0.611
 268: max:0.679, min:0.464, mean:0.614
 269: max:0.679, min:0.500, mean:0.617
 270: max:0.679, min:0.536, mean:0.616
 271: max:0.679, min:0.500, mean:0.603
 272: max:0.679, min:0.500, mean:0.603
 273: max:0.714, min:0.500, mean:0.603
 274: max:0.714, min:0.464, mean:0.603
 275: max:0.679, min:0.464, mean:0.595
 276: max:0.679, min:0.464, mean:0.594
 277: max:0.679, min:0.464, mean:0.593
 278: max:0.679, min:0.464, mean:0.594
 279: max:0.679, min:0.500, mean:0.596
 280: max:0.643, min:0.500, mean:0.589
 281: max:0.643, min:0.500, mean:0.591
 282: max:0.679, min:0.500, mean:0.592
 283: max:0.679, min:0.464, mean:0.593
 284: max:0.679, min:0.500, mean:0.595
 285: max:0.679, min:0.464, mean:0.599
 286: max:0.679, min:0.429, mean:0.596
 287: max:0.679, min:0.464, mean:0.600
 288: max:0.679, min:0.393, mean:0.602
 289: max:0.714, min:0.536, mean:0.607
 290: max:0.714, min:0.500, mean:0.606
