 469: max:0.679, min:0.536, mean:0.619
 470: max:0.679, min:0.536, mean:0.617
 471: max:0.679, min:0.500, mean:0.616
 472: max:0.679, min:0.464, mean:0.618
 473: max:0.714, min:0.500, mean:0.619
 474: max:0.714, min:0.500, mean:0.626
 475: max:0.714, min:0.500, mean:0.635
 476: max:0.714, min:0.500, mean:0.636
 477: max:0.714, min:0.536, mean:0.634
 478: max:0.714, min:0.536, mean:0.626
 479: max:0.714, min:0.500, mean:0.621
 480: max:0.714, min:0.500, mean:0.625
 481: max:0.714, min:0.500, mean:0.631
 482: max:0.714, min:0.500, mean:0.626
 483: max:0.714, min:0.536, mean:0.629
 484: max:0.714, min:0.500, mean:0.623
 485: max:0.714, min:0.500, mean:0.623
 486: max:0.714, min:0.464, mean:0.626
 487: max:0.714, min:0.536, mean:0.630
 488: max:0.714, min:0.536, mean:0.628
 489: max:0.714, min:0.500, mean:0.627
 490: max:0.714, min:0.536, mean:0.625
 491: max:0.714, min:0.500, mean:0.625
 492: max:0.714, min:0.536, mean:0.627
 493: max:0.714, min:0.536, mean:0.634
 494: max:0.714, min:0.536, mean:0.639
 495: max:0.714, min:0.536, mean:0.643
 496: max:0.714, min:0.536, mean:0.640
 497: max:0.714, min:0.536, mean:0.631
 498: max:0.679, min:0.536, mean:0.634
 499: max:0.714, min:0.536, mean:0.632
 500: max:0.714, min:0.464, mean:0.628
 501: max:0.714, min:0.536, mean:0.626
 502: max:0.714, min:0.536, mean:0.623
 503: max:0.714, min:0.500, mean:0.621
 504: max:0.714, min:0.536, mean:0.625
 505: max:0.714, min:0.500, mean:0.624
 506: max:0.714, min:0.500, mean:0.620
 507: max:0.714, min:0.464, mean:0.615
 508: max:0.714, min:0.464, mean:0.614
 509: max:0.714, min:0.464, mean:0.617
 510: max:0.714, min:0.536, mean:0.626
 511: max:0.750, min:0.536, mean:0.625
 512: max:0.750, min:0.500, mean:0.630
 513: max:0.750, min:0.500, mean:0.637
 514: max:0.750, min:0.500, mean:0.635
 515: max:0.750, min:0.536, mean:0.642
 516: max:0.714, min:0.500, mean:0.643
 517: max:0.714, min:0.500, mean:0.647
 518: max:0.714, min:0.536, mean:0.649
 519: max:0.714, min:0.536, mean:0.641
 520: max:0.714, min:0.536, mean:0.646
 521: max:0.750, min:0.536, mean:0.648
 522: max:0.750, min:0.536, mean:0.649
 523: max:0.750, min:0.536, mean:0.648
 524: max:0.750, min:0.500, mean:0.648
 525: max:0.750, min:0.464, mean:0.645
 526: max:0.786, min:0.536, mean:0.647
 527: max:0.786, min:0.500, mean:0.659
 528: max:0.750, min:0.536, mean:0.661
 529: max:0.750, min:0.536, mean:0.654
 530: max:0.714, min:0.536, mean:0.655
 531: max:0.714, min:0.571, mean:0.651
 532: max:0.714, min:0.500, mean:0.646
 533: max:0.714, min:0.500, mean:0.643
 534: max:0.714, min:0.536, mean:0.638
 535: max:0.714, min:0.536, mean:0.639
 536: max:0.714, min:0.536, mean:0.638
 537: max:0.714, min:0.536, mean:0.629
 538: max:0.714, min:0.500, mean:0.630
 539: max:0.714, min:0.536, mean:0.627
 540: max:0.714, min:0.500, mean:0.627
 541: max:0.679, min:0.536, mean:0.627
 542: max:0.714, min:0.464, mean:0.632
 543: max:0.679, min:0.536, mean:0.623
 544: max:0.679, min:0.464, mean:0.624
 545: max:0.679, min:0.464, mean:0.628
 546: max:0.679, min:0.536, mean:0.623
 547: max:0.679, min:0.536, mean:0.623
 548: max:0.679, min:0.500, mean:0.634
 549: max:0.679, min:0.500, mean:0.629
 550: max:0.714, min:0.536, mean:0.629
 551: max:0.714, min:0.536, mean:0.629
 552: max:0.679, min:0.536, mean:0.624
 553: max:0.679, min:0.464, mean:0.616
 554: max:0.679, min:0.464, mean:0.615
 555: max:0.679, min:0.500, mean:0.612
 556: max:0.679, min:0.500, mean:0.610
 557: max:0.679, min:0.500, mean:0.610
 558: max:0.679, min:0.500, mean:0.612
 559: max:0.679, min:0.500, mean:0.615
 560: max:0.679, min:0.500, mean:0.612
 561: max:0.679, min:0.500, mean:0.610
 562: max:0.679, min:0.500, mean:0.603
 563: max:0.679, min:0.500, mean:0.599
 564: max:0.679, min:0.500, mean:0.594
 565: max:0.679, min:0.464, mean:0.598
 566: max:0.714, min:0.464, mean:0.600
 567: max:0.714, min:0.393, mean:0.597
 568: max:0.714, min:0.500, mean:0.606
 569: max:0.714, min:0.500, mean:0.614
 570: max:0.714, min:0.536, mean:0.614
 571: max:0.714, min:0.500, mean:0.606
 572: max:0.714, min:0.500, mean:0.607
 573: max:0.714, min:0.500, mean:0.614
 574: max:0.679, min:0.500, mean:0.620
 575: max:0.714, min:0.500, mean:0.624
 576: max:0.714, min:0.500, mean:0.636
 577: max:0.714, min:0.571, mean:0.631
 578: max:0.714, min:0.500, mean:0.633
 579: max:0.714, min:0.464, mean:0.629
 580: max:0.714, min:0.536, mean:0.631
 581: max:0.714, min:0.536, mean:0.649
 582: max:0.714, min:0.500, mean:0.653
 583: max:0.750, min:0.571, mean:0.655
 584: max:0.750, min:0.536, mean:0.657
 585: max:0.750, min:0.536, mean:0.658
 586: max:0.750, min:0.536, mean:0.652
 587: max:0.750, min:0.536, mean:0.651
 588: max:0.750, min:0.500, mean:0.657
 589: max:0.750, min:0.536, mean:0.655
 590: max:0.750, min:0.571, mean:0.656
 591: max:0.750, min:0.571, mean:0.657
 592: max:0.714, min:0.429, mean:0.657
 593: max:0.750, min:0.571, mean:0.662
 594: max:0.750, min:0.571, mean:0.661
 595: max:0.750, min:0.571, mean:0.662
 596: max:0.750, min:0.571, mean:0.654
 597: max:0.750, min:0.500, mean:0.656
 598: max:0.750, min:0.500, mean:0.656
 599: max:0.750, min:0.571, mean:0.655
 600: max:0.750, min:0.536, mean:0.665
 601: max:0.750, min:0.536, mean:0.660
 602: max:0.750, min:0.536, mean:0.661
 603: max:0.750, min:0.536, mean:0.670
 604: max:0.750, min:0.571, mean:0.677
 605: max:0.750, min:0.571, mean:0.678
 606: max:0.786, min:0.571, mean:0.683
 607: max:0.786, min:0.571, mean:0.681
 608: max:0.750, min:0.536, mean:0.678
 609: max:0.750, min:0.571, mean:0.671
 610: max:0.750, min:0.536, mean:0.680
 611: max:0.750, min:0.571, mean:0.681
 612: max:0.750, min:0.536, mean:0.679
 613: max:0.750, min:0.536, mean:0.679
 614: max:0.750, min:0.536, mean:0.681
 615: max:0.750, min:0.571, mean:0.676
 616: max:0.750, min:0.536, mean:0.674
 617: max:0.750, min:0.500, mean:0.675
 618: max:0.750, min:0.607, mean:0.679
 619: max:0.750, min:0.536, mean:0.671
 620: max:0.750, min:0.571, mean:0.671
 621: max:0.750, min:0.571, mean:0.672
 622: max:0.750, min:0.500, mean:0.672
 623: max:0.750, min:0.571, mean:0.669
 624: max:0.750, min:0.571, mean:0.665
 625: max:0.786, min:0.571, mean:0.674
 626: max:0.786, min:0.536, mean:0.671
 627: max:0.786, min:0.536, mean:0.671
 628: max:0.750, min:0.571, mean:0.669
 629: max:0.750, min:0.571, mean:0.672
 630: max:0.786, min:0.571, mean:0.664
 631: max:0.786, min:0.571, mean:0.669
 632: max:0.786, min:0.536, mean:0.666
 633: max:0.750, min:0.571, mean:0.665
 634: max:0.750, min:0.500, mean:0.665
 635: max:0.750, min:0.536, mean:0.665
 636: max:0.750, min:0.536, mean:0.665
