 310: max:0.714, min:0.536, mean:0.659
 311: max:0.750, min:0.536, mean:0.655
 312: max:0.714, min:0.536, mean:0.649
 313: max:0.714, min:0.500, mean:0.647
 314: max:0.714, min:0.500, mean:0.649
 315: max:0.714, min:0.571, mean:0.648
 316: max:0.750, min:0.536, mean:0.643
 317: max:0.750, min:0.571, mean:0.637
 318: max:0.750, min:0.536, mean:0.642
 319: max:0.750, min:0.500, mean:0.646
 320: max:0.750, min:0.500, mean:0.659
 321: max:0.750, min:0.571, mean:0.667
 322: max:0.750, min:0.571, mean:0.666
 323: max:0.750, min:0.536, mean:0.671
 324: max:0.750, min:0.571, mean:0.667
 325: max:0.750, min:0.536, mean:0.666
 326: max:0.750, min:0.571, mean:0.669
 327: max:0.750, min:0.536, mean:0.663
 328: max:0.714, min:0.536, mean:0.660
 329: max:0.750, min:0.536, mean:0.658
 330: max:0.714, min:0.571, mean:0.663
 331: max:0.714, min:0.571, mean:0.662
 332: max:0.750, min:0.536, mean:0.662
 333: max:0.714, min:0.571, mean:0.651
 334: max:0.714, min:0.536, mean:0.646
 335: max:0.714, min:0.500, mean:0.637
 336: max:0.714, min:0.500, mean:0.634
 337: max:0.714, min:0.571, mean:0.634
 338: max:0.714, min:0.536, mean:0.630
 339: max:0.714, min:0.464, mean:0.632
 340: max:0.714, min:0.536, mean:0.633
 341: max:0.714, min:0.536, mean:0.637
 342: max:0.714, min:0.500, mean:0.638
 343: max:0.714, min:0.500, mean:0.636
 344: max:0.714, min:0.536, mean:0.640
 345: max:0.714, min:0.500, mean:0.641
 346: max:0.714, min:0.536, mean:0.640
 347: max:0.714, min:0.464, mean:0.640
 348: max:0.714, min:0.536, mean:0.647
 349: max:0.714, min:0.536, mean:0.647
 350: max:0.714, min:0.571, mean:0.651
 351: max:0.714, min:0.571, mean:0.646
 352: max:0.714, min:0.536, mean:0.646
 353: max:0.714, min:0.536, mean:0.649
 354: max:0.714, min:0.536, mean:0.652
 355: max:0.714, min:0.536, mean:0.651
 356: max:0.714, min:0.536, mean:0.647
 357: max:0.714, min:0.536, mean:0.646
 358: max:0.714, min:0.464, mean:0.641
 359: max:0.714, min:0.536, mean:0.642
 360: max:0.714, min:0.500, mean:0.638
 361: max:0.714, min:0.536, mean:0.630
 362: max:0.714, min:0.464, mean:0.630
 363: max:0.750, min:0.536, mean:0.637
 364: max:0.679, min:0.500, mean:0.635
 365: max:0.679, min:0.536, mean:0.632
 366: max:0.679, min:0.571, mean:0.632
 367: max:0.714, min:0.500, mean:0.627
 368: max:0.714, min:0.536, mean:0.620
 369: max:0.714, min:0.536, mean:0.628
 370: max:0.714, min:0.464, mean:0.621
 371: max:0.679, min:0.536, mean:0.624
 372: max:0.679, min:0.500, mean:0.622
 373: max:0.679, min:0.500, mean:0.627
 374: max:0.679, min:0.500, mean:0.626
 375: max:0.679, min:0.500, mean:0.633
 376: max:0.714, min:0.500, mean:0.629
 377: max:0.714, min:0.500, mean:0.631
 378: max:0.714, min:0.536, mean:0.634
 379: max:0.714, min:0.500, mean:0.633
 380: max:0.714, min:0.536, mean:0.636
 381: max:0.714, min:0.536, mean:0.635
 382: max:0.714, min:0.500, mean:0.638
 383: max:0.714, min:0.500, mean:0.636
 384: max:0.714, min:0.536, mean:0.631
 385: max:0.714, min:0.500, mean:0.636
 386: max:0.714, min:0.536, mean:0.646
 387: max:0.714, min:0.536, mean:0.647
 388: max:0.714, min:0.536, mean:0.651
 389: max:0.714, min:0.536, mean:0.648
 390: max:0.714, min:0.536, mean:0.648
 391: max:0.714, min:0.500, mean:0.644
 392: max:0.714, min:0.393, mean:0.636
 393: max:0.714, min:0.500, mean:0.635
 394: max:0.714, min:0.500, mean:0.635
 395: max:0.714, min:0.536, mean:0.636
 396: max:0.714, min:0.536, mean:0.634
 397: max:0.714, min:0.500, mean:0.632
 398: max:0.714, min:0.393, mean:0.628
 399: max:0.714, min:0.500, mean:0.627
 400: max:0.714, min:0.500, mean:0.625
 401: max:0.714, min:0.536, mean:0.629
 402: max:0.714, min:0.536, mean:0.636
 403: max:0.714, min:0.536, mean:0.637
 404: max:0.714, min:0.500, mean:0.638
 405: max:0.714, min:0.500, mean:0.630
 406: max:0.714, min:0.500, mean:0.628
 407: max:0.714, min:0.536, mean:0.625
 408: max:0.679, min:0.500, mean:0.623
 409: max:0.679, min:0.464, mean:0.622
 410: max:0.679, min:0.500, mean:0.626
 411: max:0.679, min:0.536, mean:0.627
